Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
101,0 days 00:46:06.439000,LAW,30,0 days 00:01:38.962000,6.0,2.0,,0 days 00:46:03.622000,28.133,37.199,33.63,0 days 00:44:55.610000,0 days 00:45:32.809000,0 days 00:46:06.439000,198.0,194.0,,203.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:44:27.477000,2026-06-13 14:31:26.987,1,,False,,False,False,98.962,98.962
102,0 days 00:51:25.298000,LAW,30,,7.0,3.0,0 days 00:49:42.683000,,,38.131,27.559,,0 days 00:50:57.815000,0 days 00:51:25.601000,210.0,212.0,295.0,121.0,False,SOFT,1.0,True,Racing Bulls,0 days 00:46:06.439000,2026-06-13 14:33:05.949,1,,False,,False,False,,
103,0 days 00:52:40.883000,LAW,30,0 days 00:01:15.585000,8.0,3.0,,,22.038,30.61,22.937,0 days 00:51:47.336000,0 days 00:52:17.946000,0 days 00:52:40.883000,283.0,283.0,279.0,330.0,True,SOFT,2.0,True,Racing Bulls,0 days 00:51:25.298000,2026-06-13 14:38:24.808,1,,False,,False,True,75.585,75.585
104,0 days 00:54:20.834000,LAW,30,0 days 00:01:39.951000,9.0,3.0,,0 days 00:54:18.060000,28.018,36.849,35.084,0 days 00:53:08.901000,0 days 00:53:45.750000,0 days 00:54:20.834000,212.0,202.0,,275.0,False,SOFT,3.0,True,Racing Bulls,0 days 00:52:40.883000,2026-06-13 14:39:40.393,1,,False,,False,False,99.951,99.951
105,0 days 01:03:33.593000,LAW,30,,10.0,4.0,0 days 01:01:39.167000,,,39.117,27.615,,0 days 01:03:05.978000,0 days 01:03:33.609000,200.0,216.0,290.0,117.0,False,SOFT,4.0,False,Racing Bulls,0 days 00:54:20.834000,2026-06-13 14:41:20.344,1,,False,,False,False,,
106,0 days 01:21:39.154000,LAW,30,,11.0,4.0,,0 days 01:05:01.814000,22.425,30.988,,0 days 01:03:55.985000,0 days 01:04:27.135000,,280.0,290.0,,331.0,False,SOFT,5.0,False,Racing Bulls,0 days 01:03:33.593000,2026-06-13 14:50:33.103,125,,False,,False,False,,
107,0 days 01:23:24.888000,LAW,30,,12.0,5.0,0 days 01:21:39.154000,,,39.461,29.648,,0 days 01:22:55.354000,0 days 01:23:25.157000,209.0,214.0,290.0,148.0,False,SOFT,4.0,False,Racing Bulls,0 days 01:21:39.154000,2026-06-13 15:08:38.664,1,,False,,False,False,,
108,0 days 01:24:41.430000,LAW,30,0 days 00:01:16.542000,13.0,5.0,,,22.438,30.822,23.282,0 days 01:23:47.326000,0 days 01:24:18.148000,0 days 01:24:41.430000,279.0,291.0,275.0,331.0,True,SOFT,5.0,False,Racing Bulls,0 days 01:23:24.888000,2026-06-13 15:10:24.398,1,,False,,False,True,76.542,76.542
109,0 days 01:26:28.492000,LAW,30,,14.0,5.0,,0 days 01:26:28.492000,31.261,39.541,,0 days 01:25:12.691000,0 days 01:25:52.339000,,180.0,166.0,,236.0,False,SOFT,6.0,False,Racing Bulls,0 days 01:24:41.430000,2026-06-13 15:11:40.940,1,,False,,False,False,,
110,0 days 00:19:43.076000,HUL,27,,1.0,1.0,0 days 00:18:04.029000,,,40.3,28.13,,0 days 00:19:15.011000,0 days 00:19:43.322000,203.0,213.0,289.0,210.0,False,SOFT,1.0,True,Audi,0 days 00:18:04.029000,2026-06-13 14:05:03.539,1,,False,,False,False,,
