Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
42,0 days 01:08:15.706000,GAS,10,0 days 00:01:20.937000,4.0,1.0,,,23.174,25.563,32.2,0 days 01:07:17.973000,0 days 01:07:43.536000,0 days 01:08:15.736000,235.0,290.0,271.0,348.0,False,MEDIUM,4.0,True,Alpine,0 days 01:06:54.769000,2026-05-24 20:14:10.243,1,11.0,True,TRACK LIMITS AT TURN 14 LAP 4 ,False,True,80.937,80.937
43,0 days 01:09:36.652000,GAS,10,0 days 00:01:20.946000,5.0,1.0,,,23.916,25.326,31.704,0 days 01:08:39.652000,0 days 01:09:04.978000,0 days 01:09:36.682000,235.0,285.0,265.0,302.0,False,MEDIUM,5.0,True,Alpine,0 days 01:08:15.706000,2026-05-24 20:15:31.180,1,11.0,False,,False,True,80.946,80.946
44,0 days 01:10:56.431000,GAS,10,0 days 00:01:19.779000,6.0,1.0,,,22.861,25.642,31.276,0 days 01:09:59.543000,0 days 01:10:25.185000,0 days 01:10:56.461000,239.0,289.0,280.0,321.0,True,MEDIUM,6.0,True,Alpine,0 days 01:09:36.652000,2026-05-24 20:16:52.126,1,10.0,False,,False,True,79.779,79.779
45,0 days 01:12:15.444000,GAS,10,0 days 00:01:19.013000,7.0,1.0,,,22.488,24.843,31.682,0 days 01:11:18.949000,0 days 01:11:43.792000,0 days 01:12:15.474000,236.0,279.0,266.0,310.0,True,MEDIUM,7.0,True,Alpine,0 days 01:10:56.431000,2026-05-24 20:18:11.905,1,10.0,False,,False,True,79.013,79.013
46,0 days 01:13:33.913000,GAS,10,0 days 00:01:18.469000,8.0,1.0,,,22.618,24.909,30.942,0 days 01:12:38.092000,0 days 01:13:03.001000,0 days 01:13:33.943000,238.0,278.0,274.0,313.0,True,MEDIUM,8.0,True,Alpine,0 days 01:12:15.444000,2026-05-24 20:19:30.918,1,10.0,False,,False,True,78.469,78.469
47,0 days 01:14:51.829000,GAS,10,0 days 00:01:17.916000,9.0,1.0,,,22.351,24.749,30.816,0 days 01:13:56.294000,0 days 01:14:21.043000,0 days 01:14:51.859000,238.0,283.0,275.0,318.0,True,MEDIUM,9.0,True,Alpine,0 days 01:13:33.913000,2026-05-24 20:20:49.387,1,10.0,False,,False,True,77.916,77.916
48,0 days 01:16:09.619000,GAS,10,0 days 00:01:17.790000,10.0,1.0,,,22.434,24.529,30.827,0 days 01:15:14.293000,0 days 01:15:38.822000,0 days 01:16:09.649000,238.0,285.0,276.0,320.0,True,MEDIUM,10.0,True,Alpine,0 days 01:14:51.829000,2026-05-24 20:22:07.303,1,10.0,False,,False,True,77.79,77.79
49,0 days 01:17:28.194000,GAS,10,0 days 00:01:18.575000,11.0,1.0,,,22.362,24.793,31.42,0 days 01:16:32.011000,0 days 01:16:56.804000,0 days 01:17:28.224000,238.0,290.0,263.0,304.0,False,MEDIUM,11.0,True,Alpine,0 days 01:16:09.619000,2026-05-24 20:23:25.093,1,10.0,False,,False,True,78.575,78.575
50,0 days 01:18:47.213000,GAS,10,0 days 00:01:19.019000,12.0,1.0,,,22.757,24.776,31.486,0 days 01:17:50.981000,0 days 01:18:15.757000,0 days 01:18:47.243000,238.0,281.0,274.0,309.0,False,MEDIUM,12.0,True,Alpine,0 days 01:17:28.194000,2026-05-24 20:24:43.668,12,10.0,False,,False,True,79.019,79.019
51,0 days 01:20:06.445000,GAS,10,0 days 00:01:19.232000,13.0,1.0,,,22.334,24.772,32.126,0 days 01:19:09.577000,0 days 01:19:34.349000,0 days 01:20:06.475000,237.0,280.0,277.0,309.0,False,MEDIUM,13.0,True,Alpine,0 days 01:18:47.213000,2026-05-24 20:26:02.687,2,10.0,False,,False,True,79.232,79.232
