Driver,driver_offset
ALB,0.5729775151090877
ALO,0.7612149780126316
ANT,0.14267036218667783
BEA,0.29717427481497793
BOR,0.8225588366769756
BOT,0.9680845892221726
COL,0.2891499501408106
GAS,-0.121825725185019
HAD,-0.0851942981659164
HAM,0.38342071804650857
HUL,0.35917427481497555
LAW,0.003389743315565852
LEC,0.25883235043812647
LIN,-0.5114281601873216
NOR,-0.4045317093964229
OCO,0.543174274814973
PER,1.7092039355752462
PIA,-0.03260315633040989
RUS,-0.06580554400069616
SAI,-0.013827967685351439
STR,0.5853521778028394
VER,0.06274875612795938
