Driver,Team,GP,Rule_Era,AirTemp_p1,Humidity_p1,Pressure_p1,Rainfall_p1,laptime_sum_sectortimes_p1,LapTimeDiff_p1,Compound_p1,AirTemp_p2,Humidity_p2,Pressure_p2,Rainfall_p2,laptime_sum_sectortimes_p2,LapTimeDiff_p2,Compound_p2,AirTemp_p3,Humidity_p3,Pressure_p3,Rainfall_p3,laptime_sum_sectortimes_p3,LapTimeDiff_p3,Compound_p3,Sprint-Session,AirTemp_sprint_quali,Humidity_sprint_quali,Pressure_sprint_quali,Rainfall_sprint_quali,laptime_sum_sectortimes_sprint_quali,LapTimeDiff_sprint_quali,Compound_sprint_quali,AirTemp_quali,Humidity_quali,Pressure_quali,Rainfall_quali,Compound_quali,Season,Sprint_Race_Era,Sprint_Weekend,race_round,gp_id,Team_Lineage,Type,Direction,Circut_length,Turns,Pace_profile,Flat_out_run,Slow_turns,Medium_turns,High_speed_turns,Turn_density,Complexity_label
BEA,Haas F1 Team,Australian GP,Active-Aero-Hybrid-Era,21.3,69.3,1014.0,0.0,82.68199999999999,2.414999999999992,SOFT,22.6,63.8,1011.8,0.0,81.326,1.5969999999999942,SOFT,20.9,61.9,1014.3,0.0,80.778,1.7250000000000083,SOFT,,,,,,,,,20.4,64.0,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Haas F1 Team,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
ALB,Williams,Australian GP,Active-Aero-Hybrid-Era,21.2,68.5,1014.3,0.0,83.13,2.8629999999999995,SOFT,22.6,63.8,1011.8,0.0,81.84700000000001,2.118000000000009,SOFT,20.9,61.9,1014.3,0.0,81.66399999999999,2.61099999999999,SOFT,,,,,,,,,20.6,63.5,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Williams,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
COL,Alpine,Australian GP,Active-Aero-Hybrid-Era,21.2,68.5,1014.3,0.0,83.325,3.058000000000007,SOFT,22.1,64.6,1011.6,0.0,82.619,2.890000000000001,SOFT,20.9,62.6,1014.2,0.0,81.41300000000001,2.3600000000000136,SOFT,,,,,,,,,20.4,64.0,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Alpine-Renault,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
BOT,Cadillac,Australian GP,Active-Aero-Hybrid-Era,21.1,69.3,1014.0,0.0,84.02199999999999,3.754999999999996,SOFT,22.5,64.9,1011.7,0.0,83.66,3.930999999999997,SOFT,20.9,62.6,1014.2,0.0,83.51400000000001,4.461000000000013,SOFT,,,,,,,,,20.4,66.3,1013.5,0.0,SOFT,2026,2023-2026,0,1,172,Cadillac,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
GAS,Alpine,Australian GP,Active-Aero-Hybrid-Era,21.2,69.4,1014.0,0.0,84.035,3.7680000000000007,SOFT,22.4,66.2,1011.5,0.0,82.167,2.4380000000000024,SOFT,21.0,62.1,1014.3,0.0,81.071,2.0180000000000007,SOFT,,,,,,,,,20.5,63.5,1013.4,0.0,SOFT,2026,2023-2026,0,1,172,Alpine-Renault,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
NOR,McLaren,Australian GP,Active-Aero-Hybrid-Era,20.8,71.4,1014.6,0.0,84.39099999999999,4.123999999999995,MEDIUM,21.9,66.1,1011.6,0.0,80.79400000000001,1.065000000000012,SOFT,21.0,62.1,1014.3,0.0,80.443,1.3900000000000006,SOFT,,,,,,,,,20.4,59.3,1013.6,0.0,SOFT,2026,2023-2026,0,1,172,McLaren,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
PER,Cadillac,Australian GP,Active-Aero-Hybrid-Era,21.0,70.6,1014.2,0.0,84.62,4.353000000000009,SOFT,22.5,65.1,1011.4,0.0,118.806,39.077,SOFT,20.4,65.1,1014.7,0.0,84.39699999999999,5.343999999999994,MEDIUM,,,,,,,,,20.4,66.3,1013.5,0.0,SOFT,2026,2023-2026,0,1,172,Cadillac,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
ALO,Aston Martin,Australian GP,Active-Aero-Hybrid-Era,,,,,,,,22.5,66.6,1011.5,0.0,84.662,4.933000000000007,SOFT,20.9,62.6,1014.2,0.0,82.72,3.6670000000000016,SOFT,,,,,,,,,20.3,66.6,1013.5,0.0,SOFT,2026,2023-2026,0,1,172,Force India-Racing Point-Aston Martin,Street,Clockwise,5.28,16,High-speed,1300,4,5,7,3.03,Balanced
ANT,Mercedes,Austrian GP,Active-Aero-Hybrid-Era,31.0,28.0,943.0,0.0,67.79599999999999,0.0,SOFT,32.1,26.2,942.1,0.0,67.014,0.0,SOFT,31.2,27.0,944.4,0.0,67.134,0.0379999999999967,SOFT,,,,,,,,,33.4,25.3,942.9,0.0,SOFT,2026,2023-2026,0,8,178,Mercedes,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
RUS,Mercedes,Austrian GP,Active-Aero-Hybrid-Era,30.2,28.8,942.9,0.0,67.836,0.0400000000000062,SOFT,32.1,26.4,942.1,0.0,67.637,0.6230000000000047,SOFT,32.1,27.4,944.1,0.0,67.096,0.0,SOFT,,,,,,,,,33.4,24.7,942.8,0.0,SOFT,2026,2023-2026,0,8,178,Mercedes,Race,Clockwise,4.32,10,Balanced-high speed,900,3,3,4,2.32,Flowing
