Driver,Team,GP,Rule_Era,AirTemp_p1,Humidity_p1,Pressure_p1,Rainfall_p1,laptime_sum_sectortimes_p1,LapTimeDiff_p1,Compound_p1,AirTemp_p2,Humidity_p2,Pressure_p2,Rainfall_p2,laptime_sum_sectortimes_p2,LapTimeDiff_p2,Compound_p2,AirTemp_p3,Humidity_p3,Pressure_p3,Rainfall_p3,laptime_sum_sectortimes_p3,LapTimeDiff_p3,Compound_p3,Sprint-Session,AirTemp_sprint_quali,Humidity_sprint_quali,Pressure_sprint_quali,Rainfall_sprint_quali,laptime_sum_sectortimes_sprint_quali,LapTimeDiff_sprint_quali,Compound_sprint_quali,AirTemp_quali,Humidity_quali,Pressure_quali,Rainfall_quali,Compound_quali,Season,Sprint_Race_Era,Sprint_Weekend,race_round,gp_id,Team_Lineage,Type,Direction,Circut_length,Turns,Pace_profile,Flat_out_run,Slow_turns,Medium_turns,High_speed_turns,Turn_density,Complexity_label
RUS,Mercedes,Belgian GP,Active-Aero-Hybrid-Era,23.9,43.5,966.8,0.0,107.959,0.88900000000001,SOFT,24.5,39.8,966.1,0.0,107.22899999999998,1.2849999999999682,SOFT,20.7,57.2,968.8,0.0,106.357,0.3670000000000044,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Mercedes,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
LIN,Racing Bulls,Belgian GP,Active-Aero-Hybrid-Era,23.9,44.3,966.7,0.0,108.234,1.1640000000000017,SOFT,24.5,39.3,966.2,0.0,107.294,1.34999999999998,SOFT,20.6,58.1,968.8,0.0,107.17600000000002,1.1860000000000213,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
BOR,Audi,Belgian GP,Active-Aero-Hybrid-Era,24.0,44.3,966.7,0.0,108.406,1.3360000000000127,SOFT,24.6,40.2,966.2,0.0,107.952,2.0079999999999814,SOFT,20.9,56.9,968.8,0.0,107.049,1.0590000000000117,SOFT,,,,,,,,,21.0,55.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
LAW,Racing Bulls,Belgian GP,Active-Aero-Hybrid-Era,24.3,42.6,966.7,0.0,108.432,1.362000000000009,SOFT,24.5,39.6,966.2,0.0,107.434,1.489999999999981,SOFT,20.6,58.1,968.8,0.0,107.294,1.304000000000002,SOFT,,,,,,,,,20.5,56.1,968.5,0.0,SOFT,2026,2023-2026,0,10,180,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
HUL,Audi,Belgian GP,Active-Aero-Hybrid-Era,23.9,45.4,966.7,0.0,108.962,1.89200000000001,SOFT,24.5,40.3,966.1,0.0,108.333,2.3889999999999816,SOFT,20.7,57.2,968.8,0.0,106.924,0.9340000000000116,SOFT,,,,,,,,,20.5,56.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
BEA,Haas F1 Team,Belgian GP,Active-Aero-Hybrid-Era,23.7,41.0,966.7,0.0,109.01,1.940000000000012,SOFT,24.5,39.8,966.1,0.0,107.792,1.8479999999999848,SOFT,20.8,56.9,968.9,0.0,107.92,1.9300000000000068,SOFT,,,,,,,,,20.5,56.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Haas F1 Team,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
ALB,Williams,Belgian GP,Active-Aero-Hybrid-Era,24.3,40.1,966.8,0.0,109.337,2.26700000000001,SOFT,24.3,41.1,966.3,0.0,108.019,2.0749999999999886,SOFT,20.6,58.1,968.8,0.0,107.99,2.0,SOFT,,,,,,,,,21.2,55.9,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Williams,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
COL,Alpine,Belgian GP,Active-Aero-Hybrid-Era,24.0,39.7,966.7,0.0,109.403,2.3330000000000126,SOFT,24.5,39.8,966.1,0.0,107.147,1.2029999999999887,SOFT,21.0,55.9,968.9,0.0,107.904,1.9140000000000013,SOFT,,,,,,,,,20.5,56.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Alpine-Renault,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
OCO,Haas F1 Team,Belgian GP,Active-Aero-Hybrid-Era,23.7,41.0,966.7,0.0,109.449,2.379000000000005,SOFT,24.5,39.8,966.1,0.0,107.958,2.0139999999999816,SOFT,20.8,56.9,968.9,0.0,108.73,2.740000000000009,SOFT,,,,,,,,,21.2,55.9,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Haas F1 Team,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
GAS,Alpine,Belgian GP,Active-Aero-Hybrid-Era,24.0,44.3,966.7,0.0,109.712,2.64200000000001,SOFT,24.5,39.6,966.2,0.0,107.36,1.4159999999999826,SOFT,21.0,55.9,968.9,0.0,107.949,1.9590000000000032,SOFT,,,,,,,,,20.5,56.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Alpine-Renault,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
BOT,Cadillac,Belgian GP,Active-Aero-Hybrid-Era,24.2,38.8,966.7,0.0,109.839,2.769000000000005,SOFT,24.6,40.0,966.1,0.0,109.199,3.254999999999981,SOFT,21.0,57.4,968.9,0.0,108.644,2.6540000000000106,SOFT,,,,,,,,,21.2,55.9,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Cadillac,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
PER,Cadillac,Belgian GP,Active-Aero-Hybrid-Era,24.1,43.6,966.7,0.0,110.226,3.156000000000006,SOFT,24.5,41.6,966.2,0.0,109.596,3.651999999999987,SOFT,20.9,56.8,968.9,0.0,108.99,3.0,SOFT,,,,,,,,,21.2,55.9,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Cadillac,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
SAI,Williams,Belgian GP,Active-Aero-Hybrid-Era,24.3,40.1,966.8,0.0,110.862,3.7920000000000016,SOFT,24.5,39.1,966.1,0.0,108.256,2.3119999999999834,SOFT,20.2,59.7,968.9,0.0,108.692,2.701999999999998,SOFT,,,,,,,,,20.5,56.5,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Williams,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
STR,Aston Martin,Belgian GP,Active-Aero-Hybrid-Era,24.2,39.8,966.8,0.0,112.808,5.738000000000014,SOFT,24.6,40.2,966.2,0.0,111.131,5.186999999999983,SOFT,20.8,57.1,968.8,0.0,110.631,4.641000000000005,SOFT,,,,,,,,,21.2,55.9,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Force India-Racing Point-Aston Martin,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
ALO,Aston Martin,Belgian GP,Active-Aero-Hybrid-Era,,,,,,,,24.4,40.5,966.2,0.0,111.418,5.4739999999999895,SOFT,20.6,58.1,968.8,0.0,110.155,4.165000000000006,SOFT,,,,,,,,,21.2,55.9,968.4,0.0,SOFT,2026,2023-2026,0,10,180,Force India-Racing Point-Aston Martin,Race,Clockwise,7.0,20,High-speed,1500,4,7,9,2.86,Flowing
HAM,Ferrari,British GP,Active-Aero-Hybrid-Era,22.3,46.3,1011.3,0.0,89.25999999999999,0.0,SOFT,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.376,0.0,SOFT,25.8,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Ferrari,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
ANT,Mercedes,British GP,Active-Aero-Hybrid-Era,22.5,44.0,1011.4,0.0,89.473,0.213000000000008,SOFT,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.387,0.0109999999999956,SOFT,25.9,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Mercedes,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
LEC,Ferrari,British GP,Active-Aero-Hybrid-Era,22.3,46.3,1011.3,0.0,89.859,0.5990000000000038,SOFT,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.703,0.3269999999999982,SOFT,25.8,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Ferrari,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
RUS,Mercedes,British GP,Active-Aero-Hybrid-Era,22.5,44.0,1011.4,0.0,89.938,0.6780000000000115,SOFT,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.733,0.3569999999999993,SOFT,25.0,49.7,1007.5,0.0,SOFT,2026,2023-2026,1,9,179,Mercedes,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
PIA,McLaren,British GP,Active-Aero-Hybrid-Era,22.6,43.5,1011.5,0.0,90.147,0.8870000000000147,SOFT,,,,,,,,,,,,,,,SQ3,24.8,34.6,1009.8,0.0,88.77199999999999,0.3959999999999866,SOFT,25.9,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,McLaren,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
VER,Red Bull Racing,British GP,Active-Aero-Hybrid-Era,22.6,46.3,1011.3,0.0,90.24,0.980000000000004,SOFT,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.697,0.3209999999999979,SOFT,25.9,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Red Bull Racing,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
NOR,McLaren,British GP,Active-Aero-Hybrid-Era,22.5,44.7,1011.4,0.0,90.288,1.0280000000000058,SOFT,,,,,,,,,,,,,,,SQ3,24.8,34.6,1009.8,0.0,88.74,0.3639999999999901,SOFT,25.9,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,McLaren,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
HAD,Red Bull Racing,British GP,Active-Aero-Hybrid-Era,22.5,44.7,1011.4,0.0,90.338,1.078000000000003,SOFT,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.83500000000001,0.4590000000000032,SOFT,25.8,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Red Bull Racing,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
HUL,Audi,British GP,Active-Aero-Hybrid-Era,22.9,45.9,1011.4,0.0,90.743,1.483000000000004,MEDIUM,,,,,,,,,,,,,,,SQ2,24.7,34.8,1009.7,0.0,89.707,0.960000000000008,MEDIUM,25.3,46.9,1007.6,0.0,SOFT,2026,2023-2026,1,9,179,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
LAW,Racing Bulls,British GP,Active-Aero-Hybrid-Era,22.4,44.5,1011.6,0.0,90.85,1.5900000000000034,MEDIUM,,,,,,,,,,,,,,,SQ3,24.6,34.7,1009.8,0.0,88.92699999999999,0.5509999999999877,SOFT,25.9,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
COL,Alpine,British GP,Active-Aero-Hybrid-Era,22.6,45.4,1011.5,0.0,90.966,1.706000000000003,MEDIUM,,,,,,,,,,,,,,,SQ2,24.8,34.4,1009.8,0.0,89.983,1.2360000000000184,MEDIUM,25.0,49.8,1007.7,0.0,SOFT,2026,2023-2026,1,9,179,Alpine-Renault,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
BOR,Audi,British GP,Active-Aero-Hybrid-Era,22.3,46.3,1011.3,0.0,91.035,1.7750000000000057,MEDIUM,,,,,,,,,,,,,,,SQ2,25.1,35.0,1009.9,0.0,89.679,0.9320000000000164,MEDIUM,25.3,47.6,1007.5,0.0,SOFT,2026,2023-2026,1,9,179,Sauber-Alfa Romeo-Kick Sauber-Audi,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
LIN,Racing Bulls,British GP,Active-Aero-Hybrid-Era,22.5,44.0,1011.4,0.0,91.339,2.079000000000008,MEDIUM,,,,,,,,,,,,,,,SQ3,24.8,34.6,1009.8,0.0,89.36699999999999,0.9909999999999854,SOFT,25.9,49.3,1007.4,0.0,SOFT,2026,2023-2026,1,9,179,Toro Rosso-AlphaTauri-RB-Racing Bulls,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
BEA,Haas F1 Team,British GP,Active-Aero-Hybrid-Era,22.9,45.9,1011.4,0.0,91.373,2.1130000000000138,SOFT,,,,,,,,,,,,,,,SQ1,25.0,35.0,1009.9,0.0,91.083,1.8100000000000025,MEDIUM,25.3,47.6,1007.5,0.0,SOFT,2026,2023-2026,1,9,179,Haas F1 Team,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
SAI,Williams,British GP,Active-Aero-Hybrid-Era,22.5,44.0,1011.4,0.0,91.684,2.4240000000000066,SOFT,,,,,,,,,,,,,,,SQ2,25.0,35.0,1009.9,0.0,90.197,1.450000000000017,MEDIUM,25.3,47.6,1007.5,0.0,SOFT,2026,2023-2026,1,9,179,Williams,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
OCO,Haas F1 Team,British GP,Active-Aero-Hybrid-Era,22.6,45.4,1011.5,0.0,91.684,2.4240000000000066,SOFT,,,,,,,,,,,,,,,SQ1,25.4,34.0,1009.8,0.0,91.714,2.4410000000000025,MEDIUM,25.2,47.2,1007.7,0.0,SOFT,2026,2023-2026,1,9,179,Haas F1 Team,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
ALB,Williams,British GP,Active-Aero-Hybrid-Era,22.5,44.7,1011.4,0.0,91.697,2.437000000000012,SOFT,,,,,,,,,,,,,,,SQ2,25.1,35.0,1009.9,0.0,90.65,1.90300000000002,MEDIUM,25.3,47.6,1007.6,0.0,SOFT,2026,2023-2026,1,9,179,Williams,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
BOT,Cadillac,British GP,Active-Aero-Hybrid-Era,22.6,45.9,1011.4,0.0,92.15,2.890000000000015,MEDIUM,,,,,,,,,,,,,,,SQ1,25.5,35.0,1009.9,0.0,92.02,2.747,MEDIUM,25.2,47.2,1007.7,0.0,SOFT,2026,2023-2026,1,9,179,Cadillac,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
GAS,Alpine,British GP,Active-Aero-Hybrid-Era,22.6,45.4,1011.5,0.0,92.195,2.9350000000000023,MEDIUM,,,,,,,,,,,,,,,SQ2,24.8,34.4,1009.8,0.0,89.482,0.7350000000000136,MEDIUM,25.3,47.6,1007.6,0.0,SOFT,2026,2023-2026,1,9,179,Alpine-Renault,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
PER,Cadillac,British GP,Active-Aero-Hybrid-Era,22.9,45.9,1011.4,0.0,92.241,2.9810000000000088,MEDIUM,,,,,,,,,,,,,,,SQ1,25.5,35.0,1009.9,0.0,91.776,2.503,MEDIUM,25.2,48.3,1007.6,0.0,SOFT,2026,2023-2026,1,9,179,Cadillac,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
ALO,Aston Martin,British GP,Active-Aero-Hybrid-Era,22.3,46.3,1011.3,0.0,92.957,3.6970000000000023,MEDIUM,,,,,,,,,,,,,,,SQ1,25.0,35.0,1009.9,0.0,92.91,3.637000000000001,MEDIUM,25.2,47.9,1007.6,0.0,SOFT,2026,2023-2026,1,9,179,Force India-Racing Point-Aston Martin,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
STR,Aston Martin,British GP,Active-Aero-Hybrid-Era,22.2,45.8,1011.4,0.0,93.13,3.870000000000005,MEDIUM,,,,,,,,,,,,,,,SQ1,25.5,35.0,1009.9,0.0,92.988,3.7150000000000034,MEDIUM,25.2,47.2,1007.7,0.0,SOFT,2026,2023-2026,1,9,179,Force India-Racing Point-Aston Martin,Race,Clockwise,5.89,18,Very high-speed,770,3,6,9,3.06,Balanced
ANT,Mercedes,Canadian GP,Active-Aero-Hybrid-Era,17.3,27.7,1027.8,0.0,73.40199999999999,0.0,SOFT,,,,,,,,,,,,,,,SQ3,20.2,23.1,1026.0,0.0,73.033,0.0679999999999978,SOFT,21.5,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Mercedes,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
RUS,Mercedes,Canadian GP,Active-Aero-Hybrid-Era,17.2,26.6,1027.8,0.0,73.54400000000001,0.1420000000000243,SOFT,,,,,,,,,,,,,,,SQ3,20.2,23.1,1026.0,0.0,72.965,0.0,SOFT,21.7,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Mercedes,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
HAM,Ferrari,Canadian GP,Active-Aero-Hybrid-Era,17.3,26.4,1027.8,0.0,74.17599999999999,0.7740000000000009,SOFT,,,,,,,,,,,,,,,SQ3,20.3,24.7,1026.1,0.0,73.326,0.36099999999999,SOFT,21.4,24.8,1028.5,0.0,SOFT,2026,2023-2026,1,5,176,Ferrari,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
LEC,Ferrari,Canadian GP,Active-Aero-Hybrid-Era,17.3,25.4,1027.9,0.0,74.35499999999999,0.953000000000003,SOFT,,,,,,,,,,,,,,,SQ3,20.2,23.1,1026.0,0.0,73.41,0.4449999999999932,SOFT,21.5,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Ferrari,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
VER,Red Bull Racing,Canadian GP,Active-Aero-Hybrid-Era,17.3,26.4,1027.8,0.0,74.366,0.9640000000000128,SOFT,,,,,,,,,,,,,,,SQ3,20.3,24.7,1026.1,0.0,73.504,0.5390000000000015,SOFT,21.7,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Red Bull Racing,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
NOR,McLaren,Canadian GP,Active-Aero-Hybrid-Era,17.2,26.8,1027.9,0.0,74.799,1.3970000000000198,SOFT,,,,,,,,,,,,,,,SQ3,20.3,24.7,1026.1,0.0,73.28,0.3149999999999977,SOFT,21.4,24.8,1028.5,0.0,SOFT,2026,2023-2026,1,5,176,McLaren,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
PIA,McLaren,Canadian GP,Active-Aero-Hybrid-Era,16.7,28.4,1028.5,0.0,74.963,1.561000000000007,HARD,,,,,,,,,,,,,,,SQ3,20.2,23.1,1026.0,0.0,73.299,0.3340000000000032,SOFT,21.5,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,McLaren,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
LIN,Racing Bulls,Canadian GP,Active-Aero-Hybrid-Era,16.8,27.9,1028.1,0.0,75.452,2.050000000000012,MEDIUM,,,,,,,,,,,,,,,SQ3,20.2,23.1,1026.0,0.0,73.737,0.7719999999999914,SOFT,21.9,24.6,1028.5,0.0,SOFT,2026,2023-2026,1,5,176,Toro Rosso-AlphaTauri-RB-Racing Bulls,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
HUL,Audi,Canadian GP,Active-Aero-Hybrid-Era,17.2,26.4,1027.8,0.0,75.698,2.2960000000000065,HARD,,,,,,,,,,,,,,,SQ2,20.1,23.8,1026.0,0.0,74.595,1.5690000000000026,MEDIUM,21.3,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Sauber-Alfa Romeo-Kick Sauber-Audi,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
ALO,Aston Martin,Canadian GP,Active-Aero-Hybrid-Era,17.2,26.4,1027.9,0.0,75.863,2.4610000000000127,MEDIUM,,,,,,,,,,,,,,,SQ1,19.8,24.7,1026.1,0.0,75.76,1.8709999999999951,MEDIUM,21.2,25.6,1028.7,0.0,SOFT,2026,2023-2026,1,5,176,Force India-Racing Point-Aston Martin,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
BOR,Audi,Canadian GP,Active-Aero-Hybrid-Era,17.3,26.9,1027.9,0.0,76.214,2.812000000000012,SOFT,,,,,,,,,,,,,,,SQ2,20.0,24.0,1026.2,0.0,74.62700000000001,1.6010000000000133,MEDIUM,21.3,24.8,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Sauber-Alfa Romeo-Kick Sauber-Audi,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
HAD,Red Bull Racing,Canadian GP,Active-Aero-Hybrid-Era,16.3,28.5,1028.6,0.0,76.253,2.8510000000000133,HARD,,,,,,,,,,,,,,,SQ3,20.1,24.8,1026.1,0.0,73.605,0.6400000000000006,SOFT,21.5,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Red Bull Racing,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
OCO,Haas F1 Team,Canadian GP,Active-Aero-Hybrid-Era,16.9,27.7,1027.8,0.0,76.497,3.095000000000013,HARD,,,,,,,,,,,,,,,SQ2,20.2,23.7,1026.1,0.0,74.928,1.902000000000001,MEDIUM,21.4,23.8,1028.7,0.0,SOFT,2026,2023-2026,1,5,176,Haas F1 Team,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
ALB,Williams,Canadian GP,Active-Aero-Hybrid-Era,16.6,27.9,1028.5,0.0,76.642,3.240000000000009,HARD,,,,,,,,,,,,,,,,,,,,,,,21.2,23.9,1028.8,0.0,SOFT,2026,2023-2026,0,5,176,Williams,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
SAI,Williams,Canadian GP,Active-Aero-Hybrid-Era,16.6,28.2,1028.5,0.0,76.66,3.2580000000000098,HARD,,,,,,,,,,,,,,,SQ3,20.3,24.7,1026.1,0.0,74.536,1.570999999999998,SOFT,21.3,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Williams,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
GAS,Alpine,Canadian GP,Active-Aero-Hybrid-Era,17.1,28.4,1027.9,0.0,76.809,3.4070000000000107,HARD,,,,,,,,,,,,,,,SQ1,19.7,24.5,1026.2,0.0,76.642,2.752999999999986,MEDIUM,21.3,24.8,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Alpine-Renault,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
STR,Aston Martin,Canadian GP,Active-Aero-Hybrid-Era,17.2,26.4,1027.9,0.0,76.978,3.576000000000008,MEDIUM,,,,,,,,,,,,,,,SQ1,19.8,24.4,1026.2,0.0,76.354,2.464999999999989,MEDIUM,21.3,23.5,1028.8,0.0,SOFT,2026,2023-2026,1,5,176,Force India-Racing Point-Aston Martin,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
LAW,Racing Bulls,Canadian GP,Active-Aero-Hybrid-Era,16.3,28.5,1028.6,0.0,77.431,4.029000000000011,MEDIUM,,,,,,,,,,,,,,,,,,,,,,,21.3,24.4,1028.6,0.0,SOFT,2026,2023-2026,0,5,176,Toro Rosso-AlphaTauri-RB-Racing Bulls,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
BEA,Haas F1 Team,Canadian GP,Active-Aero-Hybrid-Era,17.1,27.2,1027.8,0.0,77.77,4.368000000000009,HARD,,,,,,,,,,,,,,,SQ2,20.2,23.7,1026.1,0.0,75.197,2.1710000000000065,MEDIUM,21.3,24.4,1028.6,0.0,SOFT,2026,2023-2026,1,5,176,Haas F1 Team,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
BOT,Cadillac,Canadian GP,Active-Aero-Hybrid-Era,16.8,27.9,1028.1,0.0,77.868,4.466000000000008,MEDIUM,,,,,,,,,,,,,,,SQ1,19.8,24.7,1026.1,0.0,76.866,2.9769999999999897,MEDIUM,21.3,24.4,1028.8,0.0,SOFT,2026,2023-2026,1,5,176,Cadillac,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
PER,Cadillac,Canadian GP,Active-Aero-Hybrid-Era,17.0,28.3,1028.0,0.0,77.92599999999999,4.524000000000001,SOFT,,,,,,,,,,,,,,,SQ1,19.7,24.5,1026.2,0.0,76.002,2.1129999999999853,MEDIUM,21.3,23.5,1028.8,0.0,SOFT,2026,2023-2026,1,5,176,Cadillac,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
COL,Alpine,Canadian GP,Active-Aero-Hybrid-Era,,,,,,,,,,,,,,,,,,,,,,SQ2,20.1,23.8,1026.0,0.0,74.702,1.676000000000002,MEDIUM,21.4,24.6,1028.5,0.0,SOFT,2026,2023-2026,1,5,176,Alpine-Renault,Street,Clockwise,4.36,14,Balanced,1050,6,6,2,3.21,Balanced
RUS,Mercedes,Chinese GP,Active-Aero-Hybrid-Era,13.5,32.2,1028.9,0.0,92.741,0.0,SOFT,,,,,,,,,,,,,,,SQ3,15.8,33.2,1026.3,0.0,91.52,0.0,SOFT,17.6,34.5,1023.5,0.0,SOFT,2026,2023-2026,1,2,173,Mercedes,Race,Clockwise,5.45,16,Balanced-high speed,1170,4,7,5,2.94,Balanced
ANT,Mercedes,Chinese GP,Active-Aero-Hybrid-Era,13.7,32.9,1028.9,0.0,92.861,0.1200000000000045,SOFT,,,,,,,,,,,,,,,SQ3,15.8,33.8,1026.2,0.0,91.809,0.2890000000000015,SOFT,17.6,34.5,1023.5,0.0,SOFT,2026,2023-2026,1,2,173,Mercedes,Race,Clockwise,5.45,16,Balanced-high speed,1170,4,7,5,2.94,Balanced
NOR,McLaren,Chinese GP,Active-Aero-Hybrid-Era,13.8,31.9,1028.8,0.0,93.296,0.5550000000000068,SOFT,,,,,,,,,,,,,,,SQ3,15.7,34.5,1026.3,0.0,92.141,0.6210000000000093,SOFT,17.8,33.8,1023.5,0.0,SOFT,2026,2023-2026,1,2,173,McLaren,Race,Clockwise,5.45,16,Balanced-high speed,1170,4,7,5,2.94,Balanced
PIA,McLaren,Chinese GP,Active-Aero-Hybrid-Era,13.7,31.8,1028.8,0.0,93.472,0.7309999999999945,SOFT,,,,,,,,,,,,,,,SQ3,15.7,34.5,1026.3,0.0,92.224,0.7040000000000077,SOFT,17.8,33.8,1023.5,0.0,SOFT,2026,2023-2026,1,2,173,McLaren,Race,Clockwise,5.45,16,Balanced-high speed,1170,4,7,5,2.94,Balanced
LEC,Ferrari,Chinese GP,Active-Aero-Hybrid-Era,13.4,33.2,1029.0,0.0,93.599,0.8580000000000041,SOFT,,,,,,,,,,,,,,,SQ3,15.8,34.2,1026.2,0.0,92.528,1.0080000000000098,SOFT,17.6,34.5,1023.5,0.0,SOFT,2026,2023-2026,1,2,173,Ferrari,Race,Clockwise,5.45,16,Balanced-high speed,1170,4,7,5,2.94,Balanced
