Unnamed: 0,Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate,LapTime_in_seconds,laptime_sum_sectortimes
592,0 days 01:38:58.984000,PIA,81,,32.0,6.0,,0 days 01:38:58.984000,24.213,26.097,,0 days 01:38:05.606000,0 days 01:38:31.720000,,252.0,291.0,,305.0,False,HARD,27.0,False,McLaren,0 days 01:37:41.287000,2026-05-22 17:53:42.978,1,,False,,False,False,,
593,0 days 00:16:01.534000,BEA,87,0 days 00:01:43.203000,1.0,1.0,0 days 00:14:20.336000,,35.146,30.958,37.099,0 days 00:14:53.740000,0 days 00:15:24.678000,0 days 00:16:01.709000,185.0,256.0,262.0,267.0,False,HARD,1.0,True,Haas F1 Team,0 days 00:14:20.336000,2026-05-22 16:30:22.027,1,,False,,False,False,103.203,103.203
594,0 days 00:17:27.098000,BEA,87,0 days 00:01:25.564000,2.0,1.0,,,24.421,27.083,34.06,0 days 00:16:25.955000,0 days 00:16:53.038000,0 days 00:17:27.098000,239.0,274.0,243.0,317.0,True,HARD,2.0,True,Haas F1 Team,0 days 00:16:01.534000,2026-05-22 16:32:03.225,1,,False,,False,True,85.564,85.564
595,0 days 00:34:59.231000,BEA,87,,3.0,1.0,,0 days 00:19:25.219000,33.594,50.053,,0 days 00:18:00.921000,0 days 00:18:50.949000,,156.0,243.0,,199.0,False,HARD,3.0,True,Haas F1 Team,0 days 00:17:27.098000,2026-05-22 16:33:28.789,1265,,False,,False,False,,
596,0 days 00:36:35.259000,BEA,87,0 days 00:01:36.028000,4.0,2.0,0 days 00:35:00.872000,,30.261,28.833,36.934,0 days 00:35:29.492000,0 days 00:35:58.325000,0 days 00:36:35.259000,205.0,262.0,238.0,259.0,False,HARD,4.0,False,Haas F1 Team,0 days 00:35:00.872000,2026-05-22 16:51:02.563,1,,False,,False,False,96.028,96.028
597,0 days 00:38:09.380000,BEA,87,0 days 00:01:34.121000,5.0,2.0,,,25.572,27.81,40.739,0 days 00:37:00.831000,0 days 00:37:28.641000,0 days 00:38:09.380000,233.0,266.0,267.0,194.0,False,HARD,5.0,False,Haas F1 Team,0 days 00:36:35.259000,2026-05-22 16:52:36.950,1,,False,,False,True,94.121,94.121
598,0 days 00:39:29.175000,BEA,87,0 days 00:01:19.795000,6.0,2.0,,,23.009,25.535,31.251,0 days 00:38:32.389000,0 days 00:38:57.924000,0 days 00:39:29.175000,242.0,279.0,258.0,324.0,True,HARD,6.0,False,Haas F1 Team,0 days 00:38:09.380000,2026-05-22 16:54:11.071,1,,False,,False,True,79.795,79.795
599,0 days 00:41:04.155000,BEA,87,0 days 00:01:34.980000,7.0,2.0,,,27.509,30.344,37.127,0 days 00:39:56.684000,0 days 00:40:27.028000,0 days 00:41:04.155000,204.0,209.0,269.0,234.0,False,HARD,7.0,False,Haas F1 Team,0 days 00:39:29.175000,2026-05-22 16:55:30.866,1,,False,,False,True,94.98,94.98
600,0 days 00:57:27.680000,BEA,87,,8.0,2.0,,0 days 00:42:54.040000,22.597,,,0 days 00:41:26.934000,,,242.0,,,,False,HARD,8.0,False,Haas F1 Team,0 days 00:41:04.155000,2026-05-22 16:57:05.846,125,,False,,False,False,,
601,0 days 00:59:06.239000,BEA,87,0 days 00:01:38.559000,9.0,3.0,0 days 00:57:29.731000,,34.947,27.064,36.548,0 days 00:58:02.627000,0 days 00:58:29.691000,0 days 00:59:06.239000,214.0,270.0,293.0,180.0,False,HARD,9.0,False,Haas F1 Team,0 days 00:57:29.731000,2026-05-22 17:13:31.422,1,,False,,False,False,98.559,98.559
602,0 days 01:00:26.005000,BEA,87,0 days 00:01:19.766000,10.0,3.0,,,23.159,25.471,31.136,0 days 00:59:29.398000,0 days 00:59:54.869000,0 days 01:00:26.005000,235.0,280.0,292.0,309.0,True,HARD,10.0,False,Haas F1 Team,0 days 00:59:06.239000,2026-05-22 17:15:07.930,1,,False,,False,True,79.766,79.76599999999999
603,0 days 01:01:45.157000,BEA,87,0 days 00:01:19.152000,11.0,3.0,,,22.877,25.379,30.896,0 days 01:00:48.882000,0 days 01:01:14.261000,0 days 01:01:45.157000,230.0,275.0,290.0,310.0,True,HARD,11.0,False,Haas F1 Team,0 days 01:00:26.005000,2026-05-22 17:16:27.696,1,,False,,False,True,79.152,79.152
604,0 days 01:03:03.622000,BEA,87,0 days 00:01:18.465000,12.0,3.0,,,22.608,25.198,30.659,0 days 01:02:07.765000,0 days 01:02:32.963000,0 days 01:03:03.622000,234.0,278.0,284.0,309.0,True,HARD,12.0,False,Haas F1 Team,0 days 01:01:45.157000,2026-05-22 17:17:46.848,1,,False,,False,True,78.465,78.465
605,0 days 01:04:21.933000,BEA,87,0 days 00:01:18.311000,13.0,3.0,,,22.469,25.098,30.744,0 days 01:03:26.091000,0 days 01:03:51.189000,0 days 01:04:21.933000,233.0,274.0,284.0,306.0,True,HARD,13.0,False,Haas F1 Team,0 days 01:03:03.622000,2026-05-22 17:19:05.313,1,,False,,False,True,78.311,78.311
606,0 days 01:05:40.296000,BEA,87,0 days 00:01:18.363000,14.0,3.0,,,22.458,25.001,30.904,0 days 01:04:44.391000,0 days 01:05:09.392000,0 days 01:05:40.296000,233.0,275.0,283.0,305.0,False,HARD,14.0,False,Haas F1 Team,0 days 01:04:21.933000,2026-05-22 17:20:23.624,1,,False,,False,True,78.363,78.363
607,0 days 01:06:59.150000,BEA,87,0 days 00:01:18.854000,15.0,3.0,,,22.889,25.264,30.701,0 days 01:06:03.185000,0 days 01:06:28.449000,0 days 01:06:59.150000,234.0,277.0,287.0,310.0,False,HARD,15.0,False,Haas F1 Team,0 days 01:05:40.296000,2026-05-22 17:21:41.987,1,,False,,False,True,78.854,78.854
608,0 days 01:08:47.085000,BEA,87,0 days 00:01:47.935000,16.0,3.0,,0 days 01:08:11.924000,22.275,25.009,60.651,0 days 01:07:21.425000,0 days 01:07:46.434000,0 days 01:08:47.085000,234.0,271.0,,306.0,False,HARD,16.0,False,Haas F1 Team,0 days 01:06:59.150000,2026-05-22 17:23:00.841,1,,False,,False,False,107.935,107.935
609,0 days 01:10:49.920000,BEA,87,0 days 00:02:02.835000,17.0,4.0,0 days 01:08:49.460000,,55.61,31.274,35.951,0 days 01:09:42.695000,0 days 01:10:13.969000,0 days 01:10:49.920000,201.0,241.0,270.0,252.0,False,HARD,17.0,False,Haas F1 Team,0 days 01:08:47.085000,2026-05-22 17:24:48.776,12,,False,,False,False,122.835,122.835
610,0 days 01:12:07.690000,BEA,87,0 days 00:01:17.770000,18.0,4.0,,,22.259,24.662,30.849,0 days 01:11:12.179000,0 days 01:11:36.841000,0 days 01:12:07.690000,241.0,282.0,262.0,313.0,True,HARD,18.0,False,Haas F1 Team,0 days 01:10:49.920000,2026-05-22 17:26:51.611,1,,False,,False,True,77.77,77.77
611,0 days 01:23:52.922000,BEA,87,,19.0,4.0,,0 days 01:13:36.559000,29.123,28.524,,0 days 01:12:36.983000,0 days 01:13:05.637000,,190.0,238.0,,273.0,False,HARD,19.0,False,Haas F1 Team,0 days 01:12:07.690000,2026-05-22 17:28:09.381,12,,False,,False,False,,
612,0 days 01:25:24.280000,BEA,87,0 days 00:01:31.358000,20.0,5.0,0 days 01:23:54.251000,,28.045,26.934,36.379,0 days 01:24:20.967000,0 days 01:24:47.901000,0 days 01:25:24.280000,231.0,266.0,241.0,250.0,False,MEDIUM,1.0,True,Haas F1 Team,0 days 01:23:52.922000,2026-05-22 17:39:54.613,12,,False,,False,False,91.358,91.358
613,0 days 01:26:54.163000,BEA,87,0 days 00:01:29.883000,21.0,5.0,,,26.2,26.72,36.963,0 days 01:25:50.480000,0 days 01:26:17.200000,0 days 01:26:54.163000,238.0,265.0,271.0,250.0,False,MEDIUM,2.0,True,Haas F1 Team,0 days 01:25:24.280000,2026-05-22 17:41:25.971,21,,True,DOUBLE YELLOW AT TURN 1,False,True,89.883,89.88300000000001
614,0 days 01:32:19.449000,BEA,87,,22.0,5.0,,0 days 01:28:38.706000,,,,,,,,,,,False,MEDIUM,3.0,True,Haas F1 Team,0 days 01:26:54.163000,2026-05-22 17:42:55.854,125,,False,,False,False,,
615,0 days 01:33:51.289000,BEA,87,0 days 00:01:31.840000,23.0,6.0,0 days 01:32:20.927000,,28.481,27.518,35.841,0 days 01:32:47.930000,0 days 01:33:15.448000,0 days 01:33:51.289000,216.0,282.0,267.0,234.0,False,MEDIUM,4.0,False,Haas F1 Team,0 days 01:32:20.927000,2026-05-22 17:48:22.618,1,,False,,False,False,91.84,91.84
616,0 days 01:36:21.040000,BEA,87,0 days 00:02:29.751000,24.0,6.0,,,24.213,28.695,96.843,0 days 01:34:15.502000,0 days 01:34:44.197000,0 days 01:36:21.040000,223.0,199.0,150.0,236.0,False,MEDIUM,5.0,False,Haas F1 Team,0 days 01:33:51.289000,2026-05-22 17:49:52.980,1,,False,,False,True,149.751,149.751
617,0 days 01:38:45.043000,BEA,87,0 days 00:02:24.003000,25.0,6.0,,,23.661,25.942,94.4,0 days 01:36:44.701000,0 days 01:37:10.643000,0 days 01:38:45.043000,242.0,263.0,162.0,118.0,False,MEDIUM,6.0,False,Haas F1 Team,0 days 01:36:21.040000,2026-05-22 17:52:22.731,1,,False,,False,True,144.003,144.003
618,0 days 01:40:03.731000,BEA,87,,26.0,6.0,,0 days 01:40:03.731000,23.138,26.134,,0 days 01:39:08.344000,0 days 01:39:34.395000,,240.0,281.0,,257.0,False,MEDIUM,7.0,False,Haas F1 Team,0 days 01:38:45.043000,2026-05-22 17:54:46.734,1,,False,,False,False,,
